Wed Dec 11 17:09:20 2019
player
0 0
0
20 10
0 8
3 0 19
3 0 16
3 0 13
3 0 11
3 0 8
3 0 5
3 0 3
3 0 1
1 9 0
5 1 19
5 1 15
5 1 14
7 1 9
8 1 8
7 1 7
6 1 4
6 1 3
8 1 1
1 10 0
5 2 18
5 2 17
5 2 15
5 2 13
5 2 12
6 2 10
5 2 8
6 2 7
5 2 6
8 2 5
1 12 0
5 3 19
5 3 18
5 3 17
5 3 16
5 3 15
5 3 14
8 3 11
5 3 10
8 3 7
5 3 6
5 3 2
6 3 0
0 9
3 4 19
3 4 16
3 4 13
3 4 11
3 4 9
3 4 7
3 4 5
3 4 2
3 4 0
1 9 1
5 5 2
5 5 3
5 5 5
5 5 9
5 5 11
7 5 13
5 5 16
7 5 17
6 5 19
1 15 1
5 6 0
5 6 0
5 6 1
5 6 2
5 6 4
5 6 5
8 6 8
6 6 9
8 6 10
6 6 11
5 6 12
6 6 13
8 6 14
5 6 15
8 6 19
0 8
3 7 19
3 7 16
3 7 13
3 7 10
3 7 7
3 7 5
3 7 3
3 7 0
1 12 1
5 8 0
5 8 0
5 8 1
5 8 3
5 8 6
7 8 8
7 8 12
6 8 13
7 8 15
7 8 16
6 8 17
8 8 18
1 8 1
5 9 4
5 9 4
5 9 5
5 9 7
5 9 9
8 9 14
6 9 16
6 9 17
